route,stops,types
119 Dlx,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,TOLLGATE,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,CLIVE BATTERY,PARRYS,SECRETARIAT,CHEPAUK,Q.M.ARTS COLLEGE,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR,NATURE CARE HOSPITAL,MUTTUKKADU,MUTTUKKADU BOAT YARD,KOVALAM",ORD
G21,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,Y.M.I.A,MANDAVELI,ADYAR GATE,KOTTURPURAM,ENG.COLLEGE,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET",EXP
70P Ext,"VEPPAMPATTU ESWARAN NAGAR,VEPPUMPATTU PULIYAMARAM,THIRUNINDRAVOOR,NEMILICHERI,PATTABIRAM,KAVARAIPALAYAM,AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,VADAPALANI JN.,TRUSTPURAM,BHARATHI NAGAR(PERIYAR PA,T.NAGAR",EXP
56 Ext,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,ASHOK LAYLAND,ENNORE",ORD
114 Dlx,"RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,CYCLE SHOP,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO",ORD
M127B,"THIRUVERKADU,VELAPPANCHAVADI,VAANAGARAM,MADURAVOYAL,NERKUNDRAM,ARUMBAKKAM,NADUVANKARAI,AMINIJIKARAI,TAYLORS ROAD,T.B.INSTITUTE,EGMORE,PERIYAR BRIDGE,TRIPLICANE O.T (CORPN. SC,ANNA SQUARE",ORD
527,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI /MANALI NEW TO,NAPALAYAM,KONDAKKARAI,PATTAMANDIRI,MINJUR B.D.O,MINJUR,VAYALUR,KATTUR,ABIRAMI MADAM,KADAPAKKAM,THATHANMANJI",EXP
522,"ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR,MANAMATHI KOOT RD,CHIRUTHAVOOR JN.,AMMUR COLONY,KALLIKALAM,MANAMATHI SCHOOL,MANAMATHI",EXP
523,"THIRUVANMIYUR,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR,MANAMATHI JN.,ILLALUR JUNCTION,SUNNAMBU KALVOY,CHEMBAKKAM JUNCTION,MYLAI KOOT ROAD,VENGOOR JUNCTION,KARUMBAKKAM,SIRUKUNDRAM KOOT ROAD,PERUNTHANDALAM",EXP
M127H,"ANNA SQUARE,TRIPLICANE O.T (CORPN. SC,ANNA ROAD P.O./DAMS ROAD,POSTAL AUDIT OFFICE,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,WEELS INDIA RD.JN.,NATHAMUNI TALKIES,VILLIVAKKAM",ORD
B51 Dlx,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,ST THOMAS MOUNT R.S,VANUVAMBEDU,MADIPAKKAM RD. JN.,KILKATTALAI,VELLAIKAL,JN.OF.VLY-TBM RD&MVKM-K.K;,S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,TAMBARAM EAST",ORD
557C,"RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,PANJETTI,THATCHUR KOOT ROAD,NEW ROAD,PUDUVOYAL,PERUVOYAL,KAVARAPED,VENKADU,AYANALLUR,GUMMUDIPOONDI R.S.,GOVT.HOSTEL,S.R.GATE,ELAVUR,THALAYARIPALAYM,MOOLAI ROAD,SUNNAMBUKULAM,SALAIYANKANDIGI,POONGULAM COLNY,KUPPAM,CHINNA MANGODU,KALLUR",EXP
