route,stops,types
37E,"KAVIARASU KANNADASAN NAGA,SIDCO,SARMA NAGAR,VYASARPADI,P1.POLICE STATION,DOVETON,EGMORE,MATERNITY HOSPITAL,D.P.I,UTHAMAR GANDHISALAI (CORP,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL",ORD
37D,"V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING RD./METROLOG. DE,CORPORATION SCHOOL/OFFICE,VETERINARY HOSPITAL,TRUSTPURAM,PUDUR HIGH SCHOOL,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR","ORD,ORD"
37G,"V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING RD./METROLOG. DE,CORPORATION SCHOOL/OFFICE,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL","EXP,ORD"
23C Dlx,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,S.H.B,D.M.S,T.V.S,ANNA ROAD P.O./DAMS ROAD,EGMORE,DHARMAPRAKASH/PETROL BUNK,KELLEYS,AYANAVARAM B.S",ORD
23C Ext,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,S.H.B,D.M.S,T.V.S,SHANTHI/DAMS RD.,EGMORE,DASAPRAKASH,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,VELLALA STREET,KORATTUR",ORD
M61B,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,AAFS CROSS ROAD,VENGAL CROSS ROAD,VEERAPURAM,ARAKKAMBAKKAM RD.JN.,ARAKKAMBAKKAM",ORD
13B,"T.NAGAR,PONDY BAZAAR,D.M.S,WESLEY H.S,TRIPLICANE O.T (CORPN. SC,ANNA SQUARE",ORD
M61A,"AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,C.R.P.CROSS RD.,C.V.D.MITNAMALLEE RD.JN.,PALAVEDU,MELAPEDU",ORD
579A Dlx,"TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MUDICHUR VILLAGE,MANIVAKKAM,KARASANGAL,M.G.R.NAGAR,PADAPPAI,SALAMANGALAM KOOT ROAD,VANJIVANCHERY,SARAPANCHERY,PANAPAKKAMEDU,VATTAMBAKKAM,ORAGADAM KOOT ROAD,EZHICHUR KOOT ROAD,PANRUTTI,KUNNAVAKKAM,VARANAVASI,THAZHAMBEDU,THEVERIPAKKAM,NATHATHANALLUR,OOTHUKADU CROSS ROAD,WALLAJABATH",ORD
M61D,"HIGH COURT,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,AIRFORCE STATION,VENGAL CROSS ROAD,VEERAPURAM,NALLUR PUDU NAGAR,KADHAVOOR",ORD
M61E,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,AAFS CROSS ROAD,VENGAL CROSS ROAD,VEERAPURAM,ARAKKAMBAKKAM,PANDESWARAM,KADHAVOOR RD.JN.,KILKONDAIYUR",ORD
M61K,"AVADI,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,C.R.P.F,VENGAL CROSS ROAD,VEERAPURAM,KANNIAMMAN NAGAR",ORD
49A,"POONAMALLEE,KUMUNANCHAVADI,AYYAPPAN THANGAL,PORUR,VALASARAVAKKAM,VIRUGAMBAKKAM,MUTHUMARIAMMAN KOIL,Jn.OF P.T.R Rd/KAMARAJ Rd,GOVT. GIRLS H.SC,ANJUGAM SCHOOL,T.NAGAR",ORD
28A Dlx,"EGMORE NORTH R.S.,PERIYAR BRIDGE,CENTRAL,REGAL,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,MANALI NEW TOWN",ORD
M61R,"AVADI,KOILPATHAGAI RD.JN.,KOILPATHAGAI(BHARATHI NAG,VALLANUR P.U.O,KOLLUMEDU,ARIKAMBEDU,KATTUR ROAD JN.,LAKSHMIPURAM SCHOOL,KONIMEDU,PAMMADUKULAM COLONY,RED HILLS",ORD
579V Dlx,"VELACHERY,A.V.CONSTRUCTION,PONNIAMMAN KOIL RD. JN.,MADIPAKKAM KOOT ROAD,KILKATTALAI,ECHANKADU,D.J.MAT.SCHOOL,VELS UNIVERSITY,PALLAVARAM NEW BRIDGE,CHROMPET,T.B.SANATORIUM,TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MUDICHUR VILLAGE,MANIVAKKAM,KARASANGAL,M.G.R.NAGAR,PADAPPAI",ORD
22A,"AMBATHUR ESTATE,LUCAS TVS,NATHAMUNI TALKIES,KAMABAR ARANGAM,SAYANI/AYNAVARAM,KELLEYS,DHARMAPRAKASH/PETROL BUNK,EGMORE,ANNA POORNA HOTEL/DAMS RD,TRIPLICANE,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",EXP
49R,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,ANGALAMMAN KOIL,ALWAR THIRUNAGAR,VALASARAVAKKAM,ALAPAKKAM,JN.OF ALAPAKKAM & E.V.R.,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
K18 Cut,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,CIPET,EKKATTUTHANGAL",ORD
M42C,"BROADWAY,CENTRAL,CHOOLAI MILL,P1.POLICE STATION,GANESH PURAM,PERAMBUR R.S,VEENUS,S.R.P. COLONY,KOLATHUR/NEHRU RD JN,VINAYAGAPURAM,TEACHERS COLONY",ORD
40A,"ANNA SQUARE,TRIPLICANE,ANNA POORNA HOTEL/DAMS RD,EGMORE,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI","EXP,ORD"
11 Dlx,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,SUN THEATER,TELEGRAPH OFFICE,T.NAGAR",ORD
M147S,"SENTHIL NAGAR,SAKTHI NAGAR,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,HOTEL ARUN,NUNGAMBAKKAM R.S,STERLING Rd/METEOROLOGY D,STERLING ROAD,VIDYODAYA,PONDY BAZAAR,T.NAGAR",ORD
54E,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,MEPPUR",ORD
514 Ext,"ENAMBAKKAM,MELMALLIKAIPATTU,NEW NAGAR,VENKATHAKULAM,PERIYAPALAYAM,AVADI ROAD JN.,JEYAPURAM,DHARMAPURAM KANDIGAI,KANNIGAIPEIR,MANCHANKARANAI,PANDY KAVANOOR JN.,SAKTHI VINAYAGAR KOIL,PERIYAPALAYAM RD JN.,KARANODAI,SHOLAVARAM,SEMILIVARAM,PADIYANALLUR,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,CYCLE SHOP,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,C.M.B.T.",EXP
M147T,"MATHUR M.M.D.A.,M.M.C,MADHAVARAM POST BOX,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,HOTEL ARUN,NUNGAMBAKKAM R.S,MAHALINGAPURAM,BHARATHI NAGAR(PERIYAR PA,T.NAGAR",ORD
M157C,"C.M.B.T.,KOYAMBEDU SCHOOL,THIRUMANGALAM,WEELS INDIA RD.JN.,WATER PIPE THANTHANKUPPAM,MALLIGAI NAGAR AVE,BUS BAY-17TH KM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,AZHINJIVAKKAM RD.JN.,KUMMANUR,BUDUR,ARUMANDAI RD.JN.,PUDUKUPPAM,GNAYARU",ORD
46 Dlx,"T.V.K.NAGAR,VEENUS,JAMALAYA,SAYANI/AYNAVARAM,KAMABAR ARANGAM,ANNA NAGAR,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
47 Dlx,"VILLIVAKKAM,I.C.F,ANNA NAGAR,HOTEL ARUN,NUNGAMBAKKAM R.S,STERLING RD./METROLOG. DE,VIDYODAYA,PONDY BAZAAR,T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,BESANT NAGAR,THIRUVANMIYUR",ORD
558B,"MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,PANJETTI,THATCHUR KOOT ROAD,ANDAKUPPAM,MADHAVARAM,KRISHNAPURAM,PONNERI,CHINNAKUVANAM,UPPALAYAM,KAVALPATHY,MEDHUR,KANCHIVOYAL,THIRUPALAIVANAM,KATTUR CROSS ROAD,PERLIYAMBAKKAM,POLLACHIAMMANKULAM,PULICUT PANCHAYAT LIMIT,PAZHAVERKADU",EXP
558C,"PONNERI,CHINNAKUVANAM,UPPALAYAM,KAVALPATHY,MEDHUR,AVOOR,AAR COLONY,KOLUR,KOLUR KALVOY,PUDUCHERYMEDU",EXP
500C AC,"C.M.B.T.,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRULAPALAYAM,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY,THAILAPURAM,MARAIMALAI NAGAR,FORD,MALROSAPURAM,S.P.KOIL,MAHENDRA CITY(CHETTY PUNN,PULIPAKKAM,CHENGLEPET O.T.,CHENGLEPET N.T.",AC
558A,"RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,AZHINJIVAKKAM VILLAGE,CHATHIRAM,INAM AGARAM,GANGAI ADI KUPPAM,METTUPALAYAM,PULIKULAM,ELAVAMBEDU,NALLUR,MINJUR",EXP
M147B,"T.NAGAR,PONDY BAZAAR,VIDYODAYA,PUSHPA NAGAR,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAPAIR ROAD JN,MOGAPAIR WEST",ORD
M147C,"AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,HOTEL ARUN,NUNGAMBAKKAM R.S,STERLING ROAD,UTHAMAR GANDHISALAI (CORP,VIDYODAYA,PONDY BAZAAR,T.NAGAR",ORD
558L,"C.M.B.T.,KOYAMBEDU SCHOOL,THIRUMANGALAM,WEELS INDIA RD.JN.,WATER PIPE THANTHANKUPPAM,MALLIGAI NAGAR AVE,BUS BAY-17TH KM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,AZHINJIVAKKAM VILLAGE,CHATHIRAM,EANNAM AGARAM,GANGAI ADI KUPPAM,METTUPALAYAM,PULIKULAM,ELAVAMBEDU,NALLUR,MINJUR",EXP
M147A,"T.NAGAR,PONDY BAZAAR,VIDYODAYA,STERLING RD./METROLOG. DE,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,FIRE STATION,MOGAPAIR EAST",ORD
88K Dlx,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S",ORD
120 Cut,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,PERIYAR NAGAR,THIRUMULLAIVOYAL COLONY",ORD
M38H,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM POST BOX,MADHAVARAM",ORD
24A,"ANNA NAGAR WEST,MAHARANI,BRINDAVAN COLONY,AMINIJIKARAI,TAYLORS ROAD,STERLING ROAD,GEMINI P.H,ROYAPETTA HOSPITAL,V.HOUSE",ORD
M49 Dlx,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM RD. JN.,PORUR,RAMACHANDRA MEDL.COLLEGE,AYYAPPAN THANGAL",ORD
24C,"AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,AMINIJIKARAI,TAYLORS ROAD,STERLING ROAD,GEMINI P.H,ROYAPETTA HOSPITAL,V.HOUSE",ORD
54F Ext,"MANDAVELI,A.M.S.HOSPITAL,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM / MARI AMMN,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,AGARAM MEL",ORD
M46G Cut,"M.K.B.NAGAR EAST,VYASARPADI,PERAMBUR R.S,JAMALAYA,SAYANI/AYNAVARAM,KAMABAR ARANGAM,ANNA NAGAR,NADUVANKARAI,ARUMBAKKAM,KOYAMBEDU P.S,KOYMABEDU MARKET",ORD
M38C,"T.V.K.NAGAR,VEENUS,JAMALAYA,DASAMAHAN,CHOOLAI P.O,CENTRAL,P.OR & SONS,V.HOUSE",ORD
M270,"AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY R.S,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,KAKKAN BRIDGE,BRINDAVAN COLONY,PUZHITHIVAKKAM B.S",ORD
21E Ext,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM / MARI AMMN,PORUR,AYYAPPAN THANGAL",ORD
M38G,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM POST BOX,MADHAVARAM,MATHUR RD. JN.,,VADAPERUMBAKKAM,SETTIMEDU,VELANGADUPAKKAM,SRIUNGAVOOR,PERUNGAVOOR,ARUMANDAI RD.JN.,THIRUNILLAI RD.JN.,PERIAMULLAIVOYAL,VAZHUTHUNAIMEDU",ORD
71E Dlx,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,KILPAUK GARDEN,ICF ANNEXE,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR",ORD
101 AC,"THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE",AC
M119,"GUINDY TVK ESTATE,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,I.R.T. RD.JN.,SRP TOOLS,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,NUCLEUS COMPANY,CHEMMANCHERY S.C.B.",ORD
80,"TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MANIMANGALAM RD. JN.,MULLAI NAGAR,MANIMANGALAM VILLAGE,PUSHPAGIRI RD. JN.,VETERINARY HOSPITAL/PRDCT,PADAPPAI",ORD
M58A,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM POST BOX,MADHAVARAM,MATHUR RD. JN.,,VADAPERUMBAKKAM,GRAND LINE,RED HILLS",ORD
583 Dlx,"TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MUDICHUR VILLAGE,MANIVAKKAM,KARASANGAL,M.G.R.NAGAR,PADAPPAI,SALAMANGALAM KOOT ROAD,VANJIVANCHERY,SARAPANCHERY,PANAPAKKAMEDU,VATTAMBAKKAM,ORAGADAM KOOT ROAD,MATHUR,VALLAKKOTTAI,VALLAM,THERASAPURAM,BHONDHUR,PATTUNOOL CHATRAM,SRIPERUMPUDUR",ORD
58H,"V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,ATHUR,OLD&NEW; ERUMAI VETTI PALA,OLD ERUMAI VETTI PALAYAM,NEW ERUMAI VETTI PALAYAM",ORD
49A Dlx,"POONAMALLEE,KUMUNANCHAVADI,AYYAPPAN THANGAL,PORUR,VALASARAVAKKAM,VIRUGAMBAKKAM,MUTHUMARIAMMAN KOIL,Jn.OF P.T.R Rd/KAMARAJ Rd,GOVT. GIRLS H.SC,ANJUGAM SCHOOL,T.NAGAR",ORD
51H,"SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,JN.OF.VLY-TBM RD&MVKM-K.K;,S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,TAMBARAM EAST",ORD
51K,"TAMBARAM EAST,CONVENT,CAMP ROAD,BALAJI NAGAR (BHARATH ENG,MADAMBAKKAM KOIL,NOOTHANCHERI,JN.OF MAMBAKKAM & O.BAKKA,CHITLAPAKKAM,ARASANKAZHANI,OTTIAMBAKKAM,KARANAI,THALAMBUR,NAVALUR",ORD
51M,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,ST THOMAS MOUNT,VANUVAMBEDU,MADIPAKKAM RD. JN.,MADIPAKKAM B.S",ORD
A47 Dlx,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR,VIVEK & CO (KRISHNAN KOIL,VIDYODAYA,PUSHPA NAGAR,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
51A,"TAMBARAM EAST,CONVENT,CAMP ROAD,BALAJI NAGAR (BHARATH ENG,MEPPADU HOSPITAL,AGARAM THEN",ORD
19B AC,"T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,WOMEN'S POLYTECHNIC,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM",AC
M47D,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR,VIVEK & CO (KRISHNAN KOIL,VIDYODAYA,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT",ORD
51B,"SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,VEERABADRA NAGAR,JN.OF MAMBAKKAM & O.BAKKA,CHITLAPAKKAM,ARASANKAZHANI,OTTIAMBAKKAM,KARANAI",ORD
51E,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,PADAVATTAMMAN SCHOOL,GURUNANAK COLLEGE,VIJAYA NAGAR,A.V.CONSTRUCTION,PONNIAMMAN KOIL RD. JN.,MADIPAKKAM RD. JN.,MADIPAKKAM B.S",ORD
51D,"BROADWAY,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,JN.OF.VLY-TBM RD&MVKM-K.K;,VENGAIVASAL RD.JN.,VENGAIVASAL P.H.CENTRE,NOOTHANCHERI CROSS RD.,MADAMBAKKAM KOIL,BALAJI NAGAR (BHARATH ENG,CAMP ROAD,CONVENT,TAMBARAM EAST",ORD
D18 Dlx,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,HOUSING BOARD,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR",ORD
51F,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,JN.OF.ARTERIAL RD WITH 40,TAMARIND TREE,SUNNAMBU KOLATHUR",ORD
591C Dlx,"POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,TSR RAJALAKSHMI NAGAR,VALARPURAM,MANNUR VILLAGE,SOWBAKKIYA NAGAR,KATTU KOOT ROAD,VAYALUR CROSS ROAD,MUDHUKUR CROSS ROAD,POOVALLI KUPPAM,MEPPEDU,MEPPEDU KOOT RD,KONDANCHERY CHRISTHUVA SA,KOOVAM,PERAMBAKKAM,PALACE GARDEN,NARASINPRM M KOL",ORD
591B Dlx,"VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,TSR RAJALAKSHMI NAGAR,VALARPURAM,MANNUR VILLAGE,SOWBAKKIYA NAGAR,KATTU KOOT ROAD,VAYALUR CROSS ROAD,MUDHUKUR CROSS ROAD,POOVALLI KUPPAM,MEPPEDU,MEPPEDU KOOT RD,KONDANCHERY CHRISTHUVA SA,KOOVAM,PERAMBAKKAM",ORD
591A Dlx,"C.M.B.T.,KOYAMBEDU SCHOOL,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,TSR RAJALAKSHMI NAGAR,VALARPURAM,MANNUR VILLAGE,SOWBAKKIYA NAGAR,KATTU KOOT ROAD,VAYALUR CROSS ROAD,MUDHUKUR CROSS ROAD,POOVALLI KUPPAM,MEPPEDU,MEPPEDU KOOT RD,KONDANCHERY CHRISTHUVA SA,KOOVAM,PERAMBAKKAM",ORD
12B Dlx,"VADAPALANI B.S,TRUSTPURAM,BHARATHI NAGAR(PERIYAR PA,PONDY BAZAAR,F.C.I OLD,LUZ,SANTHOME P.O,FORE SHORE ESTATE",ORD
M19A,"T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM",ORD
51S,"SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,ST THOMAS MOUNT,VANUVAMBEDU,MADIPAKKAM RD. JN.,KILKATTALAI,VELLAIKAL,JN.OF.VLY-TBM RD&MVKM-K.K;,S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,TAMBARAM EAST",ORD
